time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2022-01-03 09:30:00-05:00,AlgorithmicTrader,3dbb571eb5dc45db9f10bcb106beeb64,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-03 09:30:00-05:00,AlgorithmicTrader,3dbb571eb5dc45db9f10bcb106beeb64,SPY,sell,market,fill,1,gtc,0.0,1,stock,476.29998779296875,104,0.0
2022-01-05 09:30:00-05:00,AlgorithmicTrader,eb92d3095f4546b28cd2ec71950ae7b3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-05 09:30:00-05:00,AlgorithmicTrader,eb92d3095f4546b28cd2ec71950ae7b3,SPY,sell,market,fill,1,gtc,0.0,1,stock,477.1600036621094,156,0.0
2022-01-07 09:30:00-05:00,AlgorithmicTrader,ff597120b4c74850a686a8204f4219bb,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,8b5a2f1596d34e5b9015375a24f3913b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,f2af00149fc74f75ae2cb73c5886c2ac,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,6d69860e5f74468cbda41c9308f65d47,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,246b8e47a6d74c41be8a203f2a3f0f88,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,2c9dd1267a9e492ab55e5ba2b2bbe7ca,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-07 09:30:00-05:00,AlgorithmicTrader,246b8e47a6d74c41be8a203f2a3f0f88,SPY,buy,market,fill,1,day,0.0,1,stock,467.95001220703125,260.0,0.0
2022-01-07 09:30:00-05:00,AlgorithmicTrader,2c9dd1267a9e492ab55e5ba2b2bbe7ca,SPY,buy,market,fill,1,gtc,0.0,1,stock,467.95001220703125,239,0.0
2022-01-20 08:30:00-05:00,AlgorithmicTrader,5adf575106ea41b3bd5cba068e8776c0,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-01-20 08:30:00-05:00,AlgorithmicTrader,416b7ac1098941c385632c0cf9e4dd55,SPY,sell,stop,fill,1,day,0.0,1,stock,444.55251159667966,239,0.0
2022-01-25 09:30:00-05:00,AlgorithmicTrader,da398c050ab94121b1c17b13ec8b363d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-25 09:30:00-05:00,AlgorithmicTrader,da398c050ab94121b1c17b13ec8b363d,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.05999755859375,111,0.0
2022-01-26 09:30:00-05:00,AlgorithmicTrader,c400e32a5ff148058c3a6375196ce450,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-26 09:30:00-05:00,AlgorithmicTrader,c400e32a5ff148058c3a6375196ce450,SPY,sell,market,fill,1,gtc,0.0,1,stock,440.7200012207031,164,0.0
2022-01-28 09:30:00-05:00,AlgorithmicTrader,b317dc13bd4543809870e7d0de6ac49c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,98a55dbeb90a488e8bc4ec4888528ac6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,1bde8d591a964f528cdd5e95db00c1f0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,ad614d09e1094eab8ae323139caeed66,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,73b4054a3dc646fea3c064f874a35f3d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,ea1a8a6fb19d4f0e908d2cecc2b5bc48,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-01-28 09:30:00-05:00,AlgorithmicTrader,73b4054a3dc646fea3c064f874a35f3d,SPY,buy,market,fill,1,day,0.0,1,stock,432.67999267578125,275.0,0.0
2022-01-28 09:30:00-05:00,AlgorithmicTrader,ea1a8a6fb19d4f0e908d2cecc2b5bc48,SPY,buy,market,fill,1,gtc,0.0,1,stock,432.67999267578125,250,0.0
2022-02-24 08:30:00-05:00,AlgorithmicTrader,cb9f779e60bb48c0ba4fd4aa2c4e10cc,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
