time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-26 09:30:00-05:00,AlgorithmicTrader,43a780c75ad0499fad249970674f81c7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-26 09:30:00-05:00,AlgorithmicTrader,43a780c75ad0499fad249970674f81c7,SPY,sell,market,fill,1,gtc,0.0,1,stock,403.1300048828125,124.0,0.0
2023-02-02 09:30:00-05:00,AlgorithmicTrader,79a55d353ca9497da55e900c6731baa7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,e1a6af7fb5ad4b36ae3c99fa1165124f,SPY,buy,stop,fill,1,day,0.0,1,stock,415.2239050292969,124.0,0.0
2023-02-07 09:30:00-05:00,AlgorithmicTrader,436416bc03464c00abe617df8beddfd6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-07 09:30:00-05:00,AlgorithmicTrader,436416bc03464c00abe617df8beddfd6,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.8699951171875,120.0,0.0
2023-02-08 09:30:00-05:00,AlgorithmicTrader,83808d196b2f4c98b41f9393fb04b965,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,AlgorithmicTrader,54f17dfcd0304e38b41b69ca0217080d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,AlgorithmicTrader,8d14b8e333ba41438bde98e6afad9e9b,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,AlgorithmicTrader,c1cce5d684f549dbbea35dbc5e466497,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-08 09:30:00-05:00,AlgorithmicTrader,8d14b8e333ba41438bde98e6afad9e9b,SPY,buy,market,fill,1,day,0.0,1,stock,413.1300048828125,120.0,0.0
2023-02-08 09:30:00-05:00,AlgorithmicTrader,c1cce5d684f549dbbea35dbc5e466497,SPY,buy,market,fill,1,gtc,0.0,1,stock,413.1300048828125,179.0,0.0
2023-02-10 09:30:00-05:00,AlgorithmicTrader,9b72f54086f6491c98671427fb0886f2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-10 09:30:00-05:00,AlgorithmicTrader,9b72f54086f6491c98671427fb0886f2,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.8599853515625,30.0,0.0
2023-02-21 08:30:00-05:00,AlgorithmicTrader,9cfc92a870954450becfff8bcd9b2ee8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-21 08:30:00-05:00,AlgorithmicTrader,31c953770f894902a645cc1e880300c2,SPY,sell,stop,fill,1,day,0.0,1,stock,400.7361047363281,179.0,0.0
2023-02-24 09:30:00-05:00,AlgorithmicTrader,21bad6c6f3934904b2cb1f7a99501ddb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-24 09:30:00-05:00,AlgorithmicTrader,553dc244087f4514a7d80d96f86428ed,SPY,sell,stop,fill,1,day,0.0,1,stock,393.68418579101564,30.0,0.0
2023-03-10 09:30:00-05:00,AlgorithmicTrader,bce3bcafe44943c6bec7f96f01fb2344,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-03-10 09:30:00-05:00,AlgorithmicTrader,bce3bcafe44943c6bec7f96f01fb2344,SPY,buy,market,fill,1,gtc,0.0,1,stock,390.989990234375,122.0,0.0
2023-04-05 09:30:00-04:00,AlgorithmicTrader,4f9ec3f58e7640d3ba9fb9b5257b9f89,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-05 09:30:00-04:00,AlgorithmicTrader,4f9ec3f58e7640d3ba9fb9b5257b9f89,SPY,buy,market,fill,1,gtc,0.0,1,stock,406.7699890136719,59.0,0.0
2023-04-10 09:30:00-04:00,AlgorithmicTrader,56b1ea2047a24e25875b8ed8757682ca,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,AlgorithmicTrader,56b1ea2047a24e25875b8ed8757682ca,SPY,buy,market,fill,1,gtc,0.0,1,stock,410.260009765625,29.0,0.0
2023-07-28 09:30:00-04:00,AlgorithmicTrader,3d858287fb0b4bf398e712edf48d0e4b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-28 09:30:00-04:00,AlgorithmicTrader,3d858287fb0b4bf398e712edf48d0e4b,SPY,buy,market,fill,1,gtc,0.0,1,stock,455.8800048828125,13.0,0.0
2023-08-07 09:30:00-04:00,AlgorithmicTrader,ad17484e9dfd4f389d4cee105d756828,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-08-07 09:30:00-04:00,AlgorithmicTrader,ad17484e9dfd4f389d4cee105d756828,SPY,buy,market,fill,1,gtc,0.0,1,stock,448.0799865722656,7.0,0.0
2023-08-14 09:30:00-04:00,AlgorithmicTrader,240c804541bd43e9b94d0bfe765af37c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,AlgorithmicTrader,bb3f5c7c44bf4fa7a1aad16e3d73cec8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,AlgorithmicTrader,642239463bae4d26a27733908656c69d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,AlgorithmicTrader,d68b8c1174904944af83479385aec2fc,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-08-14 09:30:00-04:00,AlgorithmicTrader,d23182936bd7402cbc29996e6b723e58,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
