time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-01 09:30:00-04:00,AlgorithmicTrader,f0979db10cdd40f5b5d4d9a718a318b1,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-01 09:30:00-04:00,AlgorithmicTrader,f0979db10cdd40f5b5d4d9a718a318b1,TSLA,buy,market,fill,1,gtc,0.0,1,stock,202.58999633789062,246,0.0
2023-06-02 09:30:00-04:00,AlgorithmicTrader,3044fe83bf484d6c9dcfeae67a136faa,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,AlgorithmicTrader,3044fe83bf484d6c9dcfeae67a136faa,TSLA,buy,market,fill,1,gtc,0.0,1,stock,210.14999389648438,119,0.0
2023-06-06 09:30:00-04:00,AlgorithmicTrader,ef4d0fe8db3f48a4a4b25f40243251cb,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,AlgorithmicTrader,ef4d0fe8db3f48a4a4b25f40243251cb,TSLA,buy,market,fill,1,gtc,0.0,1,stock,216.13999938964844,58,0.0
2023-06-07 09:30:00-04:00,AlgorithmicTrader,51fe842fd1c84c2bb5738e898dd8fab7,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-07 09:30:00-04:00,AlgorithmicTrader,51fe842fd1c84c2bb5738e898dd8fab7,TSLA,buy,market,fill,1,gtc,0.0,1,stock,228.0,27,0.0
2023-06-09 09:30:00-04:00,AlgorithmicTrader,f92dad6c81fc4f55b344cfdf4b07411d,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-09 09:30:00-04:00,AlgorithmicTrader,f92dad6c81fc4f55b344cfdf4b07411d,TSLA,buy,market,fill,1,gtc,0.0,1,stock,249.07000732421875,12,0.0
2023-06-13 08:30:00-04:00,AlgorithmicTrader,e15be496f7564f31b8cd8430a22d8575,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-13 08:30:00-04:00,AlgorithmicTrader,3d30ddb1db5d4995b249fbe674527a99,TSLA,sell,limit,fill,1,day,0.0,1,stock,253.50999450683594,246,0.0
2023-06-13 09:30:00-04:00,AlgorithmicTrader,7da439326ce748ca9209e0ef60abb0fd,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-13 09:30:00-04:00,AlgorithmicTrader,7da439326ce748ca9209e0ef60abb0fd,TSLA,buy,market,fill,1,gtc,0.0,1,stock,253.50999450683594,129,0.0
2023-06-14 09:30:00-04:00,AlgorithmicTrader,171640c46e064d7290e8c81bb853abdf,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-14 09:30:00-04:00,AlgorithmicTrader,171640c46e064d7290e8c81bb853abdf,TSLA,buy,market,fill,1,gtc,0.0,1,stock,260.1700134277344,63,0.0
2023-06-14 21:30:00-04:00,AlgorithmicTrader,6d496aac90ea4ce7ba420fe7a7269d0f,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-14 21:30:00-04:00,AlgorithmicTrader,a63f13af4f744846a601f6445efc119d,TSLA,sell,stop,fill,1,day,0.0,1,stock,252.36491302490234,63,0.0
2023-06-15 09:30:00-04:00,AlgorithmicTrader,45a6d916b6f043e5adc64b38ecf12cdf,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-15 09:30:00-04:00,AlgorithmicTrader,45a6d916b6f043e5adc64b38ecf12cdf,TSLA,buy,market,fill,1,gtc,0.0,1,stock,248.39999389648438,65,0.0
2023-06-16 08:30:00-04:00,AlgorithmicTrader,450e9e9db7844656a1ff5fd438989bb7,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-16 08:30:00-04:00,AlgorithmicTrader,d6053f13dc6147dd8570f82b1d654bcc,TSLA,sell,limit,fill,1,day,0.0,1,stock,262.68749237060547,119,0.0
2023-06-16 09:30:00-04:00,AlgorithmicTrader,f071ea9de1f7477e956e3f3c0daf96ef,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-16 09:30:00-04:00,AlgorithmicTrader,f071ea9de1f7477e956e3f3c0daf96ef,TSLA,buy,market,fill,1,gtc,0.0,1,stock,258.9200134277344,92,0.0
2023-06-20 08:30:00-04:00,AlgorithmicTrader,32fd648909ed4d499b2c0ada357f596a,TSLA,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-20 08:30:00-04:00,AlgorithmicTrader,4be0071d75dc427d8b4e442a6d25eb08,TSLA,sell,limit,fill,1,day,0.0,1,stock,270.17499923706055,58,0.0
2023-06-22 08:30:00-04:00,AlgorithmicTrader,4924eea0833a47099f3da73e00b361e5,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-22 08:30:00-04:00,AlgorithmicTrader,e8e2f1f3b2214888bbc9b43642c3137a,TSLA,sell,stop,fill,1,day,0.0,1,stock,250.77000427246094,92,0.0
2023-06-22 09:30:00-04:00,AlgorithmicTrader,693203352b1540da8155773631022e3e,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-22 09:30:00-04:00,AlgorithmicTrader,693203352b1540da8155773631022e3e,TSLA,buy,market,fill,1,gtc,0.0,1,stock,250.77000427246094,124,0.0
2023-06-23 09:30:00-04:00,AlgorithmicTrader,7b450294f2434b1aa2124623ce88e0a2,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-23 09:30:00-04:00,AlgorithmicTrader,7b450294f2434b1aa2124623ce88e0a2,TSLA,buy,market,fill,1,gtc,0.0,1,stock,259.2900085449219,60,0.0
2023-06-26 08:30:00-04:00,AlgorithmicTrader,b43d154f3daa4fffb28ab1c9c66ffba4,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 08:30:00-04:00,AlgorithmicTrader,b91621eba7c54159addb368577953fae,TSLA,sell,stop,fill,1,day,0.0,1,stock,241.59790710449218,12,0.0
2023-06-26 08:30:00-04:00,AlgorithmicTrader,9f849e72c42b423880d0b84f7b9d36c9,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 08:30:00-04:00,AlgorithmicTrader,b26b7d30bc2343e7ba3db9561f94fd70,TSLA,sell,stop,fill,1,day,0.0,1,stock,245.90469467163086,129,0.0
2023-06-26 08:30:00-04:00,AlgorithmicTrader,ccd1946a8a424289807ef498e3ba95ac,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 08:30:00-04:00,AlgorithmicTrader,023cebf9c00541bf984a3d0c6bcddcc0,TSLA,sell,stop,fill,1,day,0.0,1,stock,240.94799407958985,65,0.0
2023-06-26 08:30:00-04:00,AlgorithmicTrader,dc742dfd4b7f44feaf0f4528ce569964,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 08:30:00-04:00,AlgorithmicTrader,944dc84c80174564aad6d0de754156ba,TSLA,sell,stop,fill,1,day,0.0,1,stock,243.2469041442871,124,0.0
2023-06-26 08:30:00-04:00,AlgorithmicTrader,a444aa62bbf64a70a01fcba2c8fbbd4d,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 08:30:00-04:00,AlgorithmicTrader,e9689934f3734a6a8a7d4aec4616a6ae,TSLA,sell,stop,fill,1,day,0.0,1,stock,250.07000732421875,60,0.0
2023-06-26 09:30:00-04:00,AlgorithmicTrader,98f4a8be84e74e0db6a6c98666838206,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-26 09:30:00-04:00,AlgorithmicTrader,98f4a8be84e74e0db6a6c98666838206,TSLA,buy,market,fill,1,gtc,0.0,1,stock,250.07000732421875,222,0.0
2023-06-26 21:30:00-04:00,AlgorithmicTrader,22f5a7f3542543e9bb5676cfc5b7a66a,TSLA,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-26 21:30:00-04:00,AlgorithmicTrader,9817084d624c4dda80e0fcc08c7f0ffb,TSLA,sell,stop,fill,1,day,0.0,1,stock,242.56790710449218,222,0.0
2023-06-27 09:30:00-04:00,AlgorithmicTrader,29988247d29d49d3ae9050a3d0951ad2,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-27 09:30:00-04:00,AlgorithmicTrader,29988247d29d49d3ae9050a3d0951ad2,TSLA,buy,market,fill,1,gtc,0.0,1,stock,243.24000549316406,225,0.0
2023-06-28 09:30:00-04:00,AlgorithmicTrader,c5526c6e94874305a8ce34400df5f4f5,TSLA,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-28 09:30:00-04:00,AlgorithmicTrader,c5526c6e94874305a8ce34400df5f4f5,TSLA,buy,market,fill,1,gtc,0.0,1,stock,249.6999969482422,110,0.0
