time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-06-02 09:30:00-04:00,AlgorithmicTrader,3ce49c7a47a44e37a937a9a553f08fae,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-02 09:30:00-04:00,AlgorithmicTrader,3ce49c7a47a44e37a937a9a553f08fae,SPY,buy,market,fill,1,gtc,0.0,1,stock,424.5,117,0.0
2023-06-06 09:30:00-04:00,AlgorithmicTrader,e24132532be340ff8954729f7503a126,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,AlgorithmicTrader,e24132532be340ff8954729f7503a126,SPY,buy,market,fill,1,gtc,0.0,1,stock,426.6700134277344,58,0.0
2023-06-28 09:30:00-04:00,AlgorithmicTrader,c9677743bdb04d1ab55d6632836908bd,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-28 09:30:00-04:00,AlgorithmicTrader,c9677743bdb04d1ab55d6632836908bd,SPY,buy,market,fill,1,gtc,0.0,1,stock,435.04998779296875,29,0.0
2023-07-03 09:30:00-04:00,AlgorithmicTrader,816a157051094185bdab9c9a97418ef3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-03 09:30:00-04:00,AlgorithmicTrader,816a157051094185bdab9c9a97418ef3,SPY,buy,market,fill,1,gtc,0.0,1,stock,442.9200134277344,14,0.0
2023-07-12 08:30:00-04:00,AlgorithmicTrader,05d385402ad64cb2b0ef57e359631137,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-12 08:30:00-04:00,AlgorithmicTrader,4dc9dd2f753f4eda81e194068012d596,SPY,sell,limit,fill,1,day,0.0,1,stock,446.3900146484375,117,0.0
2023-07-12 09:30:00-04:00,AlgorithmicTrader,0dbf8a942dd04e3e901c811a15fb5085,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-12 09:30:00-04:00,AlgorithmicTrader,0dbf8a942dd04e3e901c811a15fb5085,SPY,buy,market,fill,1,gtc,0.0,1,stock,446.3900146484375,66,0.0
2023-07-13 08:30:00-04:00,AlgorithmicTrader,e9be0bfd9b914145b334554eaff4c89c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-13 08:30:00-04:00,AlgorithmicTrader,fefa498b97014290ab2567e6a7a4dc5d,SPY,sell,limit,fill,1,day,0.0,1,stock,448.0035140991211,58,0.0
2023-07-17 09:30:00-04:00,AlgorithmicTrader,c8baabf5f98f488f90e504cd616e7132,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-07-17 09:30:00-04:00,AlgorithmicTrader,c8baabf5f98f488f90e504cd616e7132,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.1300048828125,62,0.0
2023-07-21 09:30:00-04:00,AlgorithmicTrader,36374295b1ca4231bafa502627593358,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-21 09:30:00-04:00,AlgorithmicTrader,58b2c06947a244f38b9cd4b6e55d4657,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-07-21 09:30:00-04:00,AlgorithmicTrader,520a9de95bf64a698d797db3c7ef6169,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-07-21 09:30:00-04:00,AlgorithmicTrader,c100afec837743de82f1b6da877426fb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-07-21 09:30:00-04:00,AlgorithmicTrader,23f5b8e570024b2b8d97ce1fe717a785,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
