time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-05 09:30:00-05:00,AlgorithmicTrader,a548e0f6ff8d4089a45e58537259d4f8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-05 09:30:00-05:00,AlgorithmicTrader,a548e0f6ff8d4089a45e58537259d4f8,SPY,sell,market,fill,1,gtc,0.0,1,stock,381.7200012207031,130,0.0
2023-01-09 09:30:00-05:00,AlgorithmicTrader,eca9c73e72ba4036a852647e17fce55b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-09 09:30:00-05:00,AlgorithmicTrader,eca9c73e72ba4036a852647e17fce55b,SPY,sell,market,fill,1,gtc,0.0,1,stock,390.3699951171875,191,0.0
2023-01-10 09:30:00-05:00,AlgorithmicTrader,6d6475cb85f541368753c7adbff5d016,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,6bd3710df7ec4b46890b18471f2ddc57,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,9e44702fe84345c9918430d71b2d70e8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,c7235e9b0a134d1b885ad61cb860b6b0,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,5e56571046c846038c51d154ce723a93,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,4d82ba15a568438baa22b497f12d5178,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-10 09:30:00-05:00,AlgorithmicTrader,5e56571046c846038c51d154ce723a93,SPY,buy,market,fill,1,day,0.0,1,stock,387.25,321.0,0.0
2023-01-10 09:30:00-05:00,AlgorithmicTrader,4d82ba15a568438baa22b497f12d5178,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.25,289,0.0
2023-01-27 09:30:00-05:00,AlgorithmicTrader,43ba7ac314d049a78878223a027f91c4,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-01-27 09:30:00-05:00,AlgorithmicTrader,124fd8077ae144a3b86d2268040c12ef,SPY,sell,limit,fill,1,day,0.0,1,stock,406.6125,289,0.0
2023-01-30 09:30:00-05:00,AlgorithmicTrader,cb73612273e9478ba22f4a54d47b0de8,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-30 09:30:00-05:00,AlgorithmicTrader,cb73612273e9478ba22f4a54d47b0de8,SPY,buy,market,fill,1,gtc,0.0,1,stock,402.79998779296875,130,0.0
2023-01-31 09:30:00-05:00,AlgorithmicTrader,208553b6defb4c268fb1d90f0a13c54e,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-01-31 09:30:00-05:00,AlgorithmicTrader,208553b6defb4c268fb1d90f0a13c54e,SPY,buy,market,fill,1,gtc,0.0,1,stock,401.1300048828125,66,0.0
2023-02-02 09:30:00-05:00,AlgorithmicTrader,23dc441972864dc7bc64ca7969748abe,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,dbaf60d78f5a4db18e3d8838c6c041eb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,cafbc5456837478295366b5a48b24b84,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,750246a188f842d1a1c4c2225c0b73be,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,e33a4030d914421ba2f0eef30888c11d,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,08bf2cc959ca475f87d8f3014f48a9cc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-02 09:30:00-05:00,AlgorithmicTrader,e33a4030d914421ba2f0eef30888c11d,SPY,sell,market,fill,1,day,0.0,1,stock,414.8599853515625,196.0,0.0
2023-02-02 09:30:00-05:00,AlgorithmicTrader,08bf2cc959ca475f87d8f3014f48a9cc,SPY,sell,market,fill,1,gtc,0.0,1,stock,414.8599853515625,32,0.0
2023-02-03 09:30:00-05:00,AlgorithmicTrader,b24246f711194981b1ea3e13b62c45b7,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,AlgorithmicTrader,541aa7768597432cbc8c98503993749c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,AlgorithmicTrader,5ed30e8dc51e46e8ad00266545cae6af,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,AlgorithmicTrader,84d3f22e145c44ba81987b9b119ed1b1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-03 09:30:00-05:00,AlgorithmicTrader,5ed30e8dc51e46e8ad00266545cae6af,SPY,buy,market,fill,1,day,0.0,1,stock,411.5899963378906,32.0,0.0
2023-02-03 09:30:00-05:00,AlgorithmicTrader,84d3f22e145c44ba81987b9b119ed1b1,SPY,buy,market,fill,1,gtc,0.0,1,stock,411.5899963378906,147,0.0
2023-02-06 09:30:00-05:00,AlgorithmicTrader,7fc4de4a315748b89167318e228f12e7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-06 09:30:00-05:00,AlgorithmicTrader,7fc4de4a315748b89167318e228f12e7,SPY,buy,market,fill,1,gtc,0.0,1,stock,409.7900085449219,58,0.0
2023-02-10 09:30:00-05:00,AlgorithmicTrader,ecf3018abbfc4c5faca7898a7a52cca4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-10 09:30:00-05:00,AlgorithmicTrader,ecf3018abbfc4c5faca7898a7a52cca4,SPY,buy,market,fill,1,gtc,0.0,1,stock,405.8599853515625,29,0.0
2023-02-13 09:30:00-05:00,AlgorithmicTrader,d73d8bb9b387465db3aea27bfadda749,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,04ddd87318e9484ba1cd6fe3fac447aa,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,4119064d4785497b8b4217ab4b3df303,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,04a745034e2645e3972de2fdba3a6c60,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,f3bfee59f34b4ec7b19f3fa251c3bd90,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,6a1a59b4a92d4abeb3acadba5fe646e0,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,1e6433f196464c178f53c39389ebc473,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,a1c41751de7d4927b46dcf2b58c81777,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-13 09:30:00-05:00,AlgorithmicTrader,1e6433f196464c178f53c39389ebc473,SPY,sell,market,fill,1,day,0.0,1,stock,408.7200012207031,234.0,0.0
2023-02-13 09:30:00-05:00,AlgorithmicTrader,a1c41751de7d4927b46dcf2b58c81777,SPY,sell,market,fill,1,gtc,0.0,1,stock,408.7200012207031,14,0.0
2023-02-16 09:30:00-05:00,AlgorithmicTrader,97bf06c1accb48338873f813fe069ac8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-02-16 09:30:00-05:00,AlgorithmicTrader,fd37b81ad7d94fec8f28c4e1e5feec99,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-16 09:30:00-05:00,AlgorithmicTrader,46d2f24b4e9d4039b0ac84c41094c4a9,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-02-16 09:30:00-05:00,AlgorithmicTrader,3a7a669b8de24bdc9da419ea340dab1d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-16 09:30:00-05:00,AlgorithmicTrader,46d2f24b4e9d4039b0ac84c41094c4a9,SPY,buy,market,fill,1,day,0.0,1,stock,408.7900085449219,14.0,0.0
2023-02-16 09:30:00-05:00,AlgorithmicTrader,3a7a669b8de24bdc9da419ea340dab1d,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.7900085449219,138,0.0
2023-02-21 09:30:00-05:00,AlgorithmicTrader,1c14ad7f5620488e9e58286450a2fb01,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-21 09:30:00-05:00,AlgorithmicTrader,1c14ad7f5620488e9e58286450a2fb01,SPY,buy,market,fill,1,gtc,0.0,1,stock,403.05999755859375,63,0.0
2023-02-22 09:30:00-05:00,AlgorithmicTrader,3b0497fc4daa4100bbf783ded25d3f80,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-02-22 09:30:00-05:00,AlgorithmicTrader,3b0497fc4daa4100bbf783ded25d3f80,SPY,buy,market,fill,1,gtc,0.0,1,stock,399.5199890136719,32,0.0
2023-02-23 09:30:00-05:00,AlgorithmicTrader,e7ce692150a24ab4beca43eaf3e761a6,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,3f574caaed95493ba72e2f7dcf0ecfe5,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,390c7452252f4a3b923c8354f3a04dac,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,b67e5714dea8488184b080963bb2ed45,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,ff777fefafbe4032961806b89b9ba560,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,aabb5961d2334ded8f59fcb1b26abb6c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,26f84f0680f54da98e486cd1f2c10135,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,e7ce12e5238d42628252c19f7e89c3fc,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-02-23 09:30:00-05:00,AlgorithmicTrader,26f84f0680f54da98e486cd1f2c10135,SPY,sell,market,fill,1,day,0.0,1,stock,401.55999755859375,233.0,0.0
2023-02-23 09:30:00-05:00,AlgorithmicTrader,e7ce12e5238d42628252c19f7e89c3fc,SPY,sell,market,fill,1,gtc,0.0,1,stock,401.55999755859375,16,0.0
2023-02-24 09:30:00-05:00,AlgorithmicTrader,26848f59baf74a8b9b0b6266a1b541f9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
